Customer,Purchases,Sales,Months
1-1007453,2,683.2,29
1-1008052,2,891.3,29
2-1002431,2,496,29
3-1000737,2,1607.6,29
1017156,2,492.4,28
240008914,2,667.2,28
1-1000553,2,1084,28
1-1000606,2,1084,28
1-1000636,2,876,28
1-1000693,2,707.6,28
1-1004006,2,1234,28
1-1004452,2,619.6,28
1-1004524,2,466.8,28
1-1008161,2,936,28
1-1008787,2,966.8,28
2-1002252,2,521.8,28
4-1000134,2,1240,28
4-1000517,2,996,28
1014987,2,954.4,27
1-1000316,2,1512,27
1-1000899,2,580,27
1-1003536,2,1092,27
1-1008312,2,642.8,27
1-1008488,2,796,27
2-1003169,2,925,27
3-1000169,2,687.5,27
3-1000349,2,360.8,27
4-1000387,2,1314,27
4-1000609,2,608.8,27
1-1003424,2,3393,26
1-1003464,2,1930,26
1-1003744,2,543.2,26
1-1004982,2,662.6,26
1-1005407,2,590.8,26
1-1007060,2,883.6,26
1-1008218,2,3842.4,26
1-1008421,2,628.4,26
1-1008835,2,696,26
2-1002665,2,1166,26
4-1000599,2,464.4,26
5-1000711,2,753.6,26
6-1000052,2,587.04,26
1014801,2,1124,25
1015061,2,348,25
1016877,2,326,25
240008961,2,916,25
1-1000471,2,1116,25
1-1001249,2,666.4,25
1-1001906,2,1076,25
1-1003487,2,647.8,25
1-1005055,2,858.4,25
1-1006585,2,1096,25
1-1007066,2,716,25
1-1007137,2,1048.8,25
1-1007325,2,1136,25
1-1008422,2,735.6,25
2-1000438,2,1469,25
2-1002985,2,604.56,25
2-1003073,2,913.92,25
4-1000857,2,446,25
6-1000237,2,812.16,25
1017276,2,816,24
240007958,2,896,24
1-1000597,2,2025,24
1-1000763,2,1396,24
1-1001561,2,916,24
1-1002951,2,1384,24
1-1002997,2,2375,24
1-1004114,2,1323.6,24
1-1006503,2,1264,24
1-1007104,2,1564,24
1-1007526,2,376,24
1-1008071,2,766.8,24
1-1008460,2,796,24
2-1000333,2,586,24
2-1001706,2,1124.6,24
3-1000140,2,791.2,24
3-1000381,2,820.8,24
3-1000400,2,1602,24
4-1000038,2,812.8,24
4-1000121,2,1216.04,24
4-1000575,2,615.6,24
4-1000618,2,322,24
5-1000236,2,272.8,24
6-1000167,2,315.24,24
6-1000752,2,359.2,24
1017027,2,856,23
1-1001622,2,1697,23
1-1002755,2,696,23
1-1004087,2,946.4,23
1-1006875,2,642,23
1-1007168,2,1684,23
1-1008938,2,418.4,23
2-1000290,2,961,23
2-1000460,2,2300,23
2-1002236,2,4251.5,23
2-1003464,2,81.65,23
3-1000534,2,448.8,23
4-1000593,2,602,23
5-1000263,2,1913.16,23
240008459,2,925,22
1-1001263,2,1644,22
1-1001853,2,456.8,22
1-1003421,2,1767.2,22
1-1004851,2,804.4,22
1-1004898,2,813.6,22
1-1006608,2,896,22
1-1006871,2,1050,22
1-1008136,2,501.76,22
1-1008181,2,794.8,22
1-1008263,2,553.2,22
2-1000859,2,509.2,22
2-1001886,2,4097.4,22
2-1002131,2,1492,22
2-1002498,2,330.8,22
4-1000893,2,419.64,22
6-1000389,2,490.56,22
7-1000221,2,849.6,22
1-1001065,2,856,21
1-1001414,2,936,21
1-1002043,2,776,21
1-1003615,2,909.6,21
1-1005292,2,554,21
1-1005534,2,588.8,21
1-1005760,2,1104,21
1-1006478,2,756,21
1-1006482,2,616.4,21
1-1007792,2,1324,21
1-1007937,2,721,21
1-1009277,2,1152.8,21
2-1000591,2,3008,21
2-1000633,2,1672,21
2-1003726,2,517.84,21
3-1000022,2,835.2,21
6-1000096,2,1218.8,21
6-1000612,2,459.88,21
1-1005804,2,824,20
1-1007006,2,672,20
1-1007055,2,574.76,20
1-1007140,2,622,20
1-1007892,2,391.8,20
1-1008024,2,986,20
1-1009632,2,1840,20
4-1000429,2,551.28,20
4-1000540,2,754.4,20
4-1000630,2,2086,20
4-1000818,2,472.6,20
6-1000207,2,210.79,20
6-1000390,2,229.2,20
6-1000462,2,457.12,20
1016471,2,696,19
1016622,2,1304,19
1016867,2,726,19
1-1000623,2,729,19
1-1002518,2,621.8,19
1-1003059,2,3658,19
1-1005411,2,1374.2,19
1-1006813,2,2020,19
1-1008322,2,688.4,19
1-1008453,2,601.4,19
1-1008837,2,1176,19
2-1000405,2,1738.6,19
2-1000553,2,2029,19
2-1000579,2,852,19
2-1001051,2,742,19
2-1002094,2,1076,19
2-1003585,2,548.4,19
4-1000344,2,972,19
4-1000945,2,750.4,19
4-1001165,2,253,19
6-1000045,2,668.88,19
6-1000064,2,501.6,19
6-1000480,2,354.24,19
6-1000604,2,380.88,19
240008589,2,1462,18
1-1001496,2,932,18
1-1005161,2,2208.8,18
1-1006172,2,1244,18
1-1006406,2,250.6,18
1-1006445,2,994,18
1-1006943,2,574.36,18
1-1006961,2,1339.6,18
1-1007411,2,924,18
1-1007828,2,1156.8,18
1-1008039,2,1778,18
1-1009339,2,986,18
2-1000959,2,940,18
2-1003003,2,1226,18
2-1003555,2,816,18
2-1003565,2,1558,18
4-1000049,2,306.8,18
4-1000328,2,1614,18
4-1000383,2,537.3,18
4-1000713,2,716,18
4-1001180,2,1066,18
5-1000009,2,565.2,18
6-1000617,2,355.8,18
1017006,2,844,17
1-1002323,2,736,17
1-1008498,2,1286.4,17
1-1008563,2,1191.8,17
1-1008748,2,843.04,17
2-1000355,2,636.8,17
4-1000105,2,1444,17
4-1000537,2,457.65,17
4-1000559,2,1283.8,17
4-1000728,2,1015.8,17
4-1000830,2,511.2,17
4-1000838,2,362,17
4-1001405,2,836,17
5-1000856,2,724.8,17
51-100025,2,2178,17
6-1000505,2,1046.88,17
240008934,2,2093,16
1-1001405,2,1337.45,16
1-1005443,2,871,16
1-1007069,2,886,16
1-1007750,2,682,16
1-1008003,2,1016,16
1-1008238,2,671.6,16
1-1008419,2,1153.8,16
1-1008613,2,3029.4,16
1-1009098,2,632,16
2-1000826,2,640,16
3-1000218,2,1154,16
3-1000763,2,524.8,16
4-1000006,2,436.48,16
4-1000535,2,626.8,16
4-1000643,2,561.6,16
4-1001371,2,393,16
6-1000201,2,596.4,16
6-1000636,2,522.48,16
6-1001074,2,223.2,16
1-1000581,2,839.6,15
1-1000948,2,1111,15
1-1001076,2,1048.8,15
1-1001300,2,646,15
1-1002405,2,1096,15
1-1002432,2,456,15
1-1006407,2,876,15
1-1006873,2,735.6,15
1-1007394,2,996.8,15
1-1007705,2,696,15
1-1007896,2,496,15
1-1007989,2,4724,15
1-1008359,2,226,15
2-1000630,2,1195.19,15
3-1000374,2,576,15
3-1000387,2,622,15
4-1000312,2,1080,15
4-1000531,2,1496.8,15
4-1000634,2,1000,15
5-1000308,2,1192.4,15
5-1000562,2,818.4,15
6-1000714,2,697.08,15
6-1000892,2,298.68,15
1016415,2,1071,14
1016952,2,408,14
1-1000415,2,976,14
1-1001091,2,597.6,14
1-1001313,2,690.8,14
1-1006719,2,1438.8,14
1-1007246,2,686.6,14
1-1009815,2,1436,14
2-1001100,2,949.6,14
2-1001242,2,1284,14
3-1000326,2,877,14
3-1001333,2,900,14
4-1000012,2,436.8,14
4-1000308,2,683.6,14
4-1000622,2,736.8,14
4-1000631,2,414.8,14
4-1000648,2,749.4,14
6-1000036,2,723.84,14
1-1000135,2,618,13
1-1001519,2,836,13
1-1001978,2,712.8,13
1-1002087,2,1136,13
1-1002650,2,411.2,13
1-1005933,2,916,13
1-1006449,2,746,13
1-1006800,2,554.8,13
1-1006869,2,486.8,13
1-1006957,2,762,13
1-1008248,2,1744,13
1-1008405,2,996,13
1-1009864,2,696.8,13
1-1010238,2,879.6,13
2-1000362,2,1229,13
2-1003010,2,1367.6,13
3-1000290,2,886,13
3-1000866,2,531.6,13
3-1000883,2,768.8,13
3-1001163,2,597.6,13
4-1001080,2,492,13
5-1000966,2,333.2,13
6-1000422,2,400.44,13
6-1000469,2,684.36,13
6-1000741,2,319.63,13
6-1000906,2,240.6,13
6-1001056,2,259.2,13
6-1001212,2,735.84,13
6-1001509,2,710.24,13
1-1000558,2,856,12
1-1001620,2,896.8,12
1-1001724,2,1414,12
1-1004721,2,1121.6,12
1-1004885,2,1100,12
1-1005851,2,295.04,12
1-1005873,2,1096,12
1-1005907,2,178.4,12
1-1006366,2,1233.8,12
1-1006841,2,1194,12
1-1006924,2,1313.92,12
1-1007476,2,1564,12
1-1008127,2,592,12
1-1008937,2,892,12
1-1008943,2,1365.2,12
1-1009164,2,532.56,12
1-1009969,2,2613.2,12
1-1009975,2,489.6,12
1-1010254,2,1084,12
1-1010305,2,1015.6,12
1-1010346,2,453.6,12
2-1000903,2,1897,12
2-1000954,2,383.6,12
2-1001013,2,1920,12
2-1001046,2,697.8,12
2-1001112,2,1915,12
2-1001146,2,1084,12
2-1001209,2,580.8,12
2-1002343,2,3563,12
2-1002652,2,836,12
2-1002746,2,1471.37,12
2-1002755,2,916.52,12
2-1003635,2,1354.2,12
2-1003829,2,416.64,12
2-1003853,2,936,12
3-1000229,2,725.6,12
3-1000366,2,1598,12
3-1001117,2,465.6,12
4-1000021,2,628.8,12
4-1000574,2,713.6,12
4-1000910,2,588.7,12
4-1000980,2,832.8,12
4-1001018,2,327,12
4-1001100,2,690.6,12
4-1001241,2,1276,12
5-1000277,2,1149.6,12
5-1000743,2,1999,12
5-1001064,2,836,12
6-1000181,2,603.6,12
6-1000218,2,475.68,12
6-1000826,2,470.88,12
6-1000842,2,514.14,12
6-1001371,2,397.2,12
1-1000575,2,1464,11
1-1001032,2,1439,11
1-1001047,2,1156,11
1-1001192,2,976,11
1-1002408,2,1136,11
1-1002674,2,1232,11
1-1002855,2,2192,11
1-1003340,2,1512,11
1-1004579,2,956,11
1-1006702,2,476,11
1-1007402,2,414.4,11
1-1009430,2,752,11
1-1009752,2,732.8,11
1-1009836,2,948.8,11
1-1010141,2,780.8,11
1-1010142,2,496.8,11
2-1001045,2,1064,11
2-1002721,2,526,11
3-1000337,2,850.8,11
4-1001026,2,906.4,11
4-1001039,2,935.6,11
4-1001664,2,606,11
4-1001875,2,826.92,11
5-1000174,2,640.68,11
5-1000807,2,814.4,11
5-1001094,2,575.2,11
6-1000073,2,427.2,11
6-1000385,2,662.62,11
6-1000459,2,222.99,11
6-1000864,2,246.96,11
6-1000921,2,476.64,11
6-1001389,2,304.39,11
1-1000270,2,876,10
1-1000519,2,1596,10
1-1001597,2,1300,10
1-1001983,2,2748,10
1-1002730,2,1071,10
1-1003091,2,776,10
1-1003807,2,1936.8,10
1-1003906,2,766,10
1-1004097,2,916,10
1-1007304,2,736,10
1-1007727,2,892.8,10
1-1008199,2,1097,10
1-1008436,2,667,10
1-1009567,2,631.2,10
1-1009697,2,478.8,10
1-1009756,2,732.8,10
1-1010127,2,1002,10
2-1001358,2,1122.8,10
2-1001979,2,1404,10
2-1003751,2,1029.76,10
2-1003951,2,376.48,10
3-1000683,2,645.6,10
3-1001055,2,1478,10
4-1000288,2,776.6,10
4-1000469,2,668.6,10
4-1000629,2,3108,10
4-1000722,2,776.6,10
4-1000769,2,550.6,10
4-1001372,2,440,10
4-1001644,2,468,10
4-1001750,2,916,10
4-1001849,2,172.3,10
5-1000469,2,1531.3,10
5-1001011,2,319.8,10
5-1001371,2,326.8,10
51-100014,2,399.2,10
6-1000814,2,343.2,10
61-100010,2,259.44,10
7-1000119,2,849.6,10
1-1001288,2,1596,9
1-1002197,2,1530,9
1-1003450,2,716,9
1-1003684,2,976,9
1-1006021,2,636,9
1-1006120,2,876,9
1-1006744,2,916,9
1-1006900,2,796,9
1-1007360,2,709.6,9
1-1007738,2,1383.6,9
1-1009020,2,1276.8,9
1-1009480,2,489.6,9
1-1009882,2,916,9
1-1010490,2,1663.2,9
2-1002653,2,1276,9
2-1003874,2,769.8,9
3-1000106,2,739.6,9
3-1000558,2,581.6,9
3-1001089,2,629.4,9
4-1000661,2,461.6,9
4-1000899,2,671.6,9
4-1001297,2,457,9
4-1001447,2,530.6,9
4-1001773,2,2013.3,9
5-1000506,2,110.3,9
6-1000061,2,358.94,9
6-1000066,2,639.84,9
6-1000095,2,1055.04,9
6-1001238,2,548.64,9
6-1001346,2,264.72,9
6-1001355,2,780.5,9
6-1001362,2,852.96,9
7-1000164,2,924,9
1-1001265,2,791.6,8
1-1001765,2,342,8
1-1003592,2,811,8
1-1003821,2,776,8
1-1004319,2,1016,8
1-1004822,2,506,8
1-1006451,2,776,8
1-1007068,2,1231.6,8
1-1007585,2,818.4,8
1-1007627,2,1269.6,8
1-1008723,2,1250.2,8
1-1008916,2,1342.8,8
1-1009292,2,1375.6,8
2-1000526,2,1166,8
2-1000585,2,1815,8
2-1001839,2,1002.2,8
2-1001862,2,1151,8
3-1000041,2,1052,8
3-1000571,2,896,8
3-1000574,2,908.8,8
3-1000579,2,742.3,8
3-1000715,2,411.2,8
3-1001030,2,666,8
4-1000376,2,690.2,8
4-1001463,2,498.6,8
5-1001267,2,941.5,8
6-1000678,2,625.56,8
6-1001324,2,531.05,8
7-1000004,2,17.4,8
240009334,2,836,7
1-1000367,2,398,7
1-1001416,2,916,7
1-1001663,2,716,7
1-1002023,2,656,7
1-1002099,2,956,7
1-1002416,2,576.8,7
1-1002475,2,816,7
1-1003401,2,432,7
1-1005100,2,1344,7
1-1005849,2,1033.79,7
1-1007007,2,621,7
1-1007535,2,1234,7
1-1007540,2,666,7
1-1007975,2,2639,7
1-1008320,2,756.8,7
1-1008522,2,1490.8,7
1-1008976,2,756,7
1-1009013,2,1604.8,7
1-1009083,2,227,7
1-1009403,2,599,7
1-1009788,2,583.4,7
1-1010556,2,996.8,7
2-1000493,2,776,7
2-1000921,2,692,7
2-1003064,2,244.28,7
2-1003758,2,1152,7
3-1000598,2,1367.64,7
4-1000005,2,672.8,7
4-1000378,2,1722.56,7
4-1000447,2,916,7
4-1000589,2,891.6,7
4-1000837,2,1902,7
4-1001894,2,492,7
4-1002109,2,384.12,7
5-1000534,2,538.4,7
5-1000912,2,506.4,7
5-1001248,2,685.6,7
5-1001511,2,2417,7
5-1001524,2,777.68,7
5-1001572,2,460.32,7
6-1000039,2,318.24,7
6-1000574,2,434.06,7
6-1001334,2,517.44,7
6-1001493,2,656.4,7
6-1001494,2,445.44,7
7-1000154,2,1055.6,7
1-1001345,2,896,6
1-1001664,2,782,6
1-1001846,2,851,6
1-1003123,2,1286,6
1-1003169,2,866,6
1-1003458,2,439,6
1-1004790,2,598.8,6
1-1005350,2,1447,6
1-1006183,2,956,6
1-1007088,2,351.6,6
1-1007122,2,691,6
1-1008004,2,383.6,6
1-1008318,2,1184,6
1-1008337,2,1044,6
1-1009783,2,901.6,6
1-1010035,2,192.36,6
1-1010217,2,1006,6
1-1010664,2,1504.4,6
2-1000326,2,782,6
2-1001047,2,496,6
2-1003294,2,651.6,6
2-1003483,2,665.6,6
2-1003631,2,209,6
3-1000619,2,916.2,6
3-1001495,2,532,6
3-1001773,2,274.6,6
3-1001928,2,425.8,6
4-1000019,2,196,6
4-1000034,2,997.2,6
4-1000573,2,717.6,6
4-1000617,2,456.8,6
4-1000621,2,459.6,6
4-1000963,2,1276.8,6
4-1001529,2,798.8,6
4-1001622,2,938,6
4-1001718,2,292,6
4-1002001,2,167.28,6
4-1002269,2,347.2,6
5-1001023,2,819.6,6
5-1001554,2,735.32,6
6-1000091,2,579.6,6
6-1000159,2,270.24,6
6-1000783,2,563.64,6
6-1000802,2,363.98,6
6-1000806,2,690,6
6-1000956,2,576,6
6-1001159,2,876.24,6
6-1001333,2,288.96,6
6-1001400,2,489.84,6
7-1000174,2,741.2,6
7-1000316,2,852.4,6
7-1000348,2,2052,6
240009585,2,572,5
1-1000530,2,816,5
1-1000800,2,636,5
1-1000953,2,1692,5
1-1002177,2,796,5
1-1002253,2,1112,5
1-1002403,2,976,5
1-1002659,2,996,5
1-1002662,2,776,5
1-1002784,2,2115,5
1-1003891,2,876,5
1-1003905,2,624,5
1-1004640,2,853.6,5
1-1004695,2,1692,5
1-1005493,2,1196,5
1-1005889,2,563,5
1-1006999,2,1050.8,5
1-1007003,2,926,5
1-1007153,2,775.2,5
1-1007866,2,816,5
1-1007882,2,736,5
1-1007923,2,1617,5
1-1008308,2,856.6,5
1-1009074,2,726,5
1-1009117,2,376.6,5
1-1009352,2,550.79,5
1-1009525,2,643,5
1-1009723,2,836,5
1-1009816,2,2142,5
1-1010017,2,253.5,5
1-1010040,2,405,5
1-1010173,2,818.4,5
1-1010448,2,232,5
1-1010560,2,512,5
1-1010604,2,1336,5
2-1000569,2,3618,5
2-1000901,2,896,5
2-1001129,2,919.8,5
2-1001555,2,841,5
2-1001974,2,776,5
2-1002018,2,746.8,5
2-1002326,2,1351.6,5
2-1002465,2,737.8,5
3-1000493,2,2580,5
3-1000617,2,804,5
3-1000901,2,633.6,5
3-1001328,2,792.8,5
3-1001376,2,1319.4,5
4-1000135,2,641.6,5
4-1000692,2,593.4,5
4-1001108,2,972.2,5
4-1001225,2,263,5
4-1001255,2,802,5
5-1000180,2,1064.6,5
5-1000371,2,654,5
5-1000421,2,401.2,5
5-1000447,2,597.4,5
5-1000601,2,976,5
5-1001559,2,996,5
5-1001709,2,1050,5
6-1000493,2,755.07,5
6-1000504,2,361.44,5
6-1000825,2,579.6,5
6-1001160,2,583.2,5
6-1001195,2,398.24,5
6-1001218,2,502.18,5
6-1001253,2,620.64,5
6-1001278,2,284.64,5
6-1001525,2,449.28,5
6-1001554,2,78.54,5
6-1001663,2,322.56,5
7-1000129,2,516,5
1-1000134,2,776,4
1-1000511,2,556,4
1-1001109,2,656,4
1-1001965,2,1159,4
1-1002016,2,949,4
1-1002393,2,816,4
1-1003291,2,532,4
1-1003372,2,1003,4
1-1003561,2,492.4,4
1-1003852,2,561.6,4
1-1004423,2,976,4
1-1004856,2,596.8,4
1-1005989,2,716,4
1-1006215,2,3326,4
1-1006414,2,790.4,4
1-1006648,2,956,4
1-1007235,2,651.6,4
1-1008050,2,1101,4
1-1008709,2,436.6,4
1-1009112,2,769,4
1-1009215,2,959.6,4
1-1009528,2,212.7,4
1-1009691,2,487,4
1-1009749,2,652.92,4
1-1009906,2,609.6,4
1-1010256,2,678.4,4
1-1010715,2,908.8,4
1-1010792,2,766,4
2-1000331,2,627,4
2-1000578,2,1190.8,4
2-1000786,2,757,4
2-1002439,2,812.8,4
2-1002752,2,1016,4
2-1003266,2,568,4
2-1003267,2,904,4
2-1003330,2,1099.6,4
2-1004349,2,2075.6,4
3-1000850,2,633.6,4
3-1001480,2,442.8,4
4-1000052,2,616,4
4-1000401,2,776,4
4-1000453,2,867.6,4
4-1000780,2,916,4
4-1000809,2,892.8,4
4-1000833,2,336.6,4
4-1000869,2,333.2,4
4-1001138,2,438,4
4-1001184,2,517.8,4
4-1001208,2,1244,4
4-1001331,2,612.8,4
4-1001492,2,746.8,4
4-1001789,2,314.96,4
4-1002244,2,425.6,4
4-1002259,2,908.8,4
4-1002505,2,1225.6,4
5-1000705,2,851.6,4
5-1000747,2,536.6,4
5-1000929,2,504.64,4
5-1001494,2,2555.92,4
6-1000108,2,158.88,4
6-1000994,2,150.19,4
6-1001363,2,292.8,4
6-1001717,2,450.84,4
6-1001743,2,672.84,4
6-1001979,2,510,4
7-1000001,2,100.8,4
1-1000837,2,1050,3
1-1000982,2,1668,3
1-1001007,2,622,3
1-1002264,2,543,3
1-1002859,2,3325.6,3
1-1003154,2,2828,3
1-1003297,2,1262,3
1-1003354,2,176,3
1-1003387,2,1896,3
1-1003497,2,589,3
1-1003518,2,659,3
1-1003879,2,657.6,3
1-1004052,2,676,3
1-1004175,2,984,3
1-1004334,2,1016,3
1-1004434,2,936,3
1-1006206,2,1276,3
1-1006524,2,680,3
1-1006671,2,716,3
1-1006913,2,473,3
1-1007973,2,921,3
1-1008384,2,704.08,3
1-1008769,2,586.4,3
1-1008802,2,760.8,3
1-1008966,2,548,3
1-1008983,2,33,3
1-1009152,2,391.58,3
1-1009546,2,2881.6,3
1-1009863,2,752,3
1-1009872,2,828.8,3
1-1009988,2,470.56,3
1-1010032,2,379.6,3
1-1010074,2,496.8,3
1-1010525,2,390.4,3
1-1010681,2,261.6,3
1-1010991,2,848,3
2-1001275,2,383.8,3
2-1001334,2,3674.4,3
2-1001604,2,1592,3
2-1001870,2,974,3
2-1001948,2,721,3
2-1002149,2,943.8,3
2-1002286,2,550.8,3
2-1002470,2,541,3
2-1003194,2,1764.2,3
2-1003727,2,66.17,3
2-1004064,2,1007.64,3
2-1004145,2,113,3
3-1000309,2,1362,3
3-1000456,2,874,3
3-1000710,2,496.8,3
3-1000916,2,742.4,3
3-1001642,2,956,3
4-1000003,2,0,3
4-1000053,2,736,3
4-1000054,2,984,3
4-1000486,2,516,3
4-1000804,2,1293.2,3
4-1000842,2,716,3
4-1001079,2,506.6,3
4-1001092,2,467.6,3
4-1001264,2,1516.8,3
4-1001605,2,792.6,3
4-1001637,2,302,3
4-1001721,2,875.1,3
4-1001835,2,285.8,3
4-1001869,2,663,3
4-1001891,2,992,3
4-1002195,2,403.2,3
4-1002256,2,957.25,3
4-1002463,2,532,3
4-1002500,2,843.2,3
5-1000001,2,385.2,3
5-1000509,2,396,3
5-1000693,2,487.2,3
5-1000959,2,1343.8,3
5-1000967,2,1048.6,3
5-1000981,2,602,3
5-1001483,2,1484.8,3
6-1000040,2,524.64,3
6-1000212,2,682.08,3
6-1000349,2,446.88,3
6-1000401,2,395.28,3
6-1000586,2,364.8,3
6-1000635,2,774,3
6-1001055,2,372.45,3
6-1001071,2,184.8,3
6-1001151,2,80.1,3
7-1000149,2,551,3
7-1000527,2,597.8,3
7-1000593,2,268,3
1-1000100,2,764,2
1-1000373,2,631,2
1-1000458,2,598,2
1-1000479,2,856,2
1-1000678,2,1096,2
1-1000790,2,1166.4,2
1-1000839,2,396,2
1-1000872,2,1366,2
1-1001037,2,1396,2
1-1001046,2,842,2
1-1001298,2,572,2
1-1001465,2,616,2
1-1001879,2,1592,2
1-1002166,2,1116,2
1-1002301,2,756,2
1-1002433,2,696,2
1-1002466,2,694.8,2
1-1002644,2,2124.8,2
1-1003238,2,716,2
1-1003330,2,1344,2
1-1003402,2,865.8,2
1-1003503,2,916,2
1-1003549,2,936,2
1-1003928,2,936,2
1-1003952,2,733.6,2
1-1003976,2,856,2
1-1004360,2,366,2
1-1004394,2,1712,2
1-1004487,2,904.8,2
1-1004609,2,535.6,2
1-1004651,2,212.6,2
1-1004926,2,856,2
1-1004965,2,764,2
1-1005004,2,216,2
1-1005194,2,736,2
1-1005328,2,654.4,2
1-1005539,2,199.44,2
1-1005753,2,1439,2
1-1006102,2,196.86,2
1-1006196,2,1329,2
1-1006267,2,228.18,2
1-1006567,2,579.4,2
1-1006631,2,1024,2
1-1007379,2,1046,2
1-1007473,2,1042,2
1-1007518,2,1274,2
1-1007580,2,1173.6,2
1-1008196,2,736,2
1-1008236,2,820.8,2
1-1008251,2,1056,2
1-1008465,2,1219.6,2
1-1008645,2,742,2
1-1008853,2,675.6,2
1-1008878,2,158.2,2
1-1008972,2,1135.6,2
1-1009424,2,526,2
1-1009467,2,2793.6,2
1-1009728,2,359.2,2
1-1009733,2,491.2,2
1-1009739,2,512,2
1-1009764,2,995.6,2
1-1009870,2,1352.31,2
1-1009940,2,1077.6,2
1-1010012,2,259.8,2
1-1010060,2,652,2
1-1010091,2,1024.56,2
1-1010120,2,1020,2
1-1010188,2,231.6,2
1-1010631,2,527.2,2
1-1010751,2,410.88,2
1-1010844,2,345.6,2
1-1010889,2,428,2
1-1011204,2,853.6,2
2-1000336,2,2385,2
2-1000378,2,1079,2
2-1000396,2,1306,2
2-1000602,2,846,2
2-1000609,2,736,2
2-1000642,2,2140,2
2-1001372,2,2352,2
2-1001406,2,716,2
2-1001488,2,896,2
2-1001608,2,960.8,2
2-1001830,2,796,2
2-1001856,2,590.6,2
2-1001868,2,770.8,2
2-1001956,2,636,2
2-1002011,2,1396,2
2-1002067,2,2291,2
2-1002104,2,1332,2
2-1002232,2,226,2
2-1002259,2,2640,2
2-1002299,2,703.8,2
2-1002392,2,379.63,2
2-1002468,2,1211,2
2-1002492,2,2309,2
2-1002529,2,1452.4,2
2-1002998,2,2972,2
2-1003260,2,896,2
2-1003416,2,1296,2
2-1003568,2,594,2
2-1003592,2,736,2
2-1003633,2,806,2
2-1003647,2,431.6,2
2-1003714,2,97,2
2-1003813,2,646,2
2-1003961,2,1355,2
3-1000497,2,539.6,2
3-1000691,2,1544.8,2
3-1000767,2,489.6,2
3-1001080,2,772,2
3-1001157,2,616,2
3-1001436,2,478,2
3-1001743,2,581.32,2
3-1001843,2,478.96,2
4-1000064,2,874.2,2
4-1000168,2,706,2
4-1000194,2,1041.2,2
4-1000325,2,446,2
4-1000347,2,856,2
4-1000579,2,622.2,2
4-1000637,2,744.8,2
4-1000647,2,165.2,2
4-1001042,2,1096,2
4-1001119,2,1321.6,2
4-1001145,2,458,2
4-1001155,2,328.8,2
4-1001271,2,4056,2
4-1001323,2,735.6,2
4-1001338,2,913.6,2
4-1001339,2,776,2
4-1001435,2,1883.5,2
4-1001470,2,926.4,2
4-1001563,2,1356,2
4-1001631,2,366.3,2
4-1001633,2,341.6,2
4-1001933,2,763.8,2
4-1002065,2,558.2,2
4-1002094,2,377,2
4-1002282,2,808.8,2
4-1002283,2,460,2
4-1002413,2,484.8,2
5-1000240,2,127.2,2
5-1000657,2,1784,2
5-1000714,2,536,2
5-1000717,2,506,2
5-1000840,2,403.14,2
5-1000846,2,496.8,2
5-1000972,2,731,2
5-1001015,2,750,2
5-1001071,2,1869.8,2
5-1001268,2,546.6,2
5-1001570,2,91.36,2
5-1001637,2,905.72,2
5-1001898,2,343.2,2
5-1001903,2,289.2,2
5-1001908,2,317.6,2
5-1001928,2,1336,2
6-1000156,2,459.42,2
6-1000354,2,565.44,2
6-1000587,2,274.8,2
6-1000659,2,226.4,2
6-1000789,2,88.8,2
6-1000879,2,338.16,2
6-1000946,2,481.2,2
6-1001173,2,274.32,2
6-1001312,2,307.2,2
6-1001572,2,499.68,2
6-1001831,2,74.04,2
6-1001975,2,339.36,2
6-1002032,2,340.68,2
7-1000032,2,1526,2
7-1000326,2,1996,2
7-1000425,2,1596.8,2
7-1000467,2,589.03,2
1-1000365,2,599.6,1
1-1000376,2,671,1
1-1000409,2,856,1
1-1000423,2,856,1
1-1000481,2,896,1
1-1000513,2,936,1
1-1000541,2,936,1
1-1000684,2,184.8,1
1-1000711,2,2893,1
1-1000721,2,1316,1
1-1000809,2,776,1
1-1000844,2,2052,1
1-1000867,2,1518,1
1-1000961,2,936,1
1-1000969,2,3320,1
1-1001009,2,443,1
1-1001095,2,1420,1
1-1001144,2,796,1
1-1001242,2,896,1
1-1001343,2,685,1
1-1001492,2,663,1
1-1001536,2,810,1
1-1001546,2,608,1
1-1001594,2,342,1
1-1001723,2,252,1
1-1001841,2,896,1
1-1001858,2,956,1
1-1001884,2,1807,1
1-1001895,2,656,1
1-1001926,2,776,1
1-1001994,2,586,1
1-1002058,2,816,1
1-1002130,2,646,1
1-1002163,2,410,1
1-1002221,2,1036,1
1-1002235,2,754,1
1-1002239,2,554,1
1-1002241,2,1076,1
1-1002344,2,789,1
1-1002347,2,476.17,1
1-1002452,2,1155.2,1
1-1002526,2,411,1
1-1002699,2,896,1
1-1002716,2,1196,1
1-1002731,2,976,1
1-1002757,2,656,1
1-1002777,2,4964,1
1-1002779,2,816,1
1-1002790,2,1136,1
1-1002791,2,1236,1
1-1002792,2,1699,1
1-1002887,2,2892.5,1
1-1002888,2,2252,1
1-1003225,2,711,1
1-1003276,2,976,1
1-1003326,2,774,1
1-1003336,2,776,1
1-1003338,2,2392,1
1-1003456,2,292.8,1
1-1003521,2,684.4,1
1-1003574,2,2064,1
1-1003599,2,1016,1
1-1003646,2,641,1
1-1003655,2,716,1
